1,1
3,9
5,25
7,49
9,81
11,121
13,169
15,225
17,289
19,361
21,441
23,529
25,625
27,729
29,841
31,961
33,1089
35,1225
37,1369
39,1521
41,1681
43,1849
45,2025
47,2209
49,2401
51,2601
53,2809
55,3025
57,3249
59,3481
61,3721
63,3969
65,4225
67,4489
69,4761
71,5041
73,5329
75,5625
77,5929
79,6241
81,6561
83,6889
85,7225
87,7569
89,7921
91,8281
93,8649
95,9025
97,9409
99,9801
101,10201
103,10609
105,11025
107,11449
109,11881
111,12321
113,12769
115,13225
117,13689
119,14161
121,14641
123,15129
125,15625
127,16129
129,16641
131,17161
133,17689
135,18225
137,18769
139,19321
141,19881
143,20449
145,21025
147,21609
149,22201
151,22801
153,23409
155,24025
157,24649
159,25281
161,25921
163,26569
165,27225
167,27889
169,28561
171,29241
173,29929
175,30625
177,31329
179,32041
181,32761
183,33489
185,34225
187,34969
189,35721
191,36481
193,37249
195,38025
197,38809
199,39601
